# X0 Y0 angle X Y
-231 386 393216 -444 595 -270.0825446513854 359.73937659732553
477 486 1048576 532 987 324.5620740355165 598.6522029507315
-64 402 655360 -220 632 -132.8342636148873 384.7792333402241
270 -85 -458752 428 -192 257.6285667537194 -117.27114560890217
-398 503 1638400 -944 471 -573.2874848961585 287.6707487066366
-326 184 327680 -564 257 -340.79612824347817 154.8870523131446
337 47 -917504 558 -59 338.3599888481952 -35.9237796821162
-314 22 196608 -517 9 -314.72106495028095 5.536359504316263
384 -437 1048576 804 -516 489.5780157323431 -314.2266164913177
-487 229 131072 -813 352 -494.6953175031723 211.86444449325495
